,0,1,2,3
626,-0.002,-0.004,-0.007,-0.004
627,-0.003,-0.006,-0.007,-0.006
628,-0.005,-0.007,-0.008,-0.006
629,-0.005,-0.008,-0.009,-0.006
630,-0.004,-0.008,-0.007,-0.006
631,-0.004,-0.008,-0.007,-0.005
632,-0.003,-0.009,-0.007,-0.005
633,-0.004,-0.01,-0.007,-0.004
634,-0.002,-0.009,-0.006,-0.003
635,0,-0.005,-0.005,-0.002
636,0.002,-0.002,-0.003,0
637,0.001,-0.001,0,0
638,0.001,0,0,-0.001
639,0.003,0,0,0.001
640,0.004,0,-0.001,0.005
641,0,-0.004,-0.004,0.003
642,-0.002,-0.006,-0.006,0.001
643,-0.002,-0.005,-0.005,-0.001
644,-0.002,-0.004,-0.004,-0.002
645,-0.003,-0.005,-0.005,-0.004
646,-0.003,-0.007,-0.005,-0.005
647,-0.001,-0.005,-0.003,-0.004
648,0.001,-0.004,0,-0.002
649,0.003,-0.002,0.003,0.001
650,0.001,-0.002,0.001,0.001
651,-0.003,-0.006,-0.004,0
652,-0.003,-0.008,-0.005,0
653,0,-0.005,-0.003,0.004
654,0.001,-0.002,-0.001,0.006
655,0.001,0,0.001,0.006
656,0.001,0,0.001,0.003
657,0,-0.002,-0.001,0
658,0.001,-0.002,0,-0.001
659,0.006,0.002,0.005,0.004
660,0.008,0.005,0.008,0.007
661,0.006,0.002,0.006,0.006
662,0.001,-0.004,-0.001,0.001
663,0,-0.006,-0.003,0
664,-0.002,-0.008,-0.005,0
665,-0.003,-0.007,-0.004,-0.001
666,-0.003,-0.007,-0.004,-0.004
667,-0.002,-0.006,-0.004,-0.005
668,-0.003,-0.007,-0.009,-0.006
669,-0.002,-0.005,-0.008,-0.005
670,0.002,0,-0.003,-0.001
671,0.004,0.001,0,0.002
672,0.004,0.001,-0.001,0.004
673,0.006,0.003,0.001,0.008
674,0.006,0.003,0.002,0.008
675,0.004,0.001,0.001,0.007
676,0.003,0,0,0.005
677,0.004,0,0,0.004
678,0,-0.004,-0.002,-0.001
679,-0.001,-0.005,-0.003,0
680,0.002,-0.003,-0.001,0.004
681,0.005,0.001,0.002,0.006
682,0.003,0.001,0.003,0.004
683,0.002,0,0.002,0.002
684,0.003,0.001,0.001,0.002
685,0.006,0.003,0.002,0.005
686,0.008,0.005,0.004,0.006
687,0.009,0.006,0.004,0.004
688,0.006,0.003,0.001,0.001
689,0.005,0,-0.002,0.001
690,0.004,-0.001,-0.004,0.001
691,0.007,0.002,0,0.005
692,0.006,0.004,0.003,0.007
693,0.005,0.002,0.004,0.006
694,0.002,-0.002,0.001,0.002
695,0,-0.005,-0.002,-0.001
696,0.001,-0.004,-0.002,0
697,0.002,-0.004,-0.002,0.003
698,0.002,-0.002,0,0.004
699,-0.001,-0.003,-0.001,-0.001
700,-0.001,-0.003,-0.003,-0.002
701,-0.001,-0.005,-0.004,-0.002
702,0,-0.004,-0.004,-0.001
703,0,-0.005,-0.006,-0.002
704,0,-0.005,-0.004,-0.002
705,0.002,-0.003,0,0.002
706,0.006,0.001,0.003,0.005
707,0.008,0.004,0.005,0.006
708,0.008,0.005,0.004,0.005
709,0.007,0.003,0.003,0.002
710,0.005,0,0.002,0
711,0.004,-0.002,0.001,0
712,0.003,-0.003,-0.001,-0.002
713,0.004,-0.002,-0.001,-0.003
714,0.002,-0.004,-0.004,-0.003
715,0,-0.005,-0.005,-0.002
716,-0.001,-0.007,-0.005,-0.001
717,0.002,-0.003,-0.002,0.001
718,0.004,-0.001,0,0.004
719,0.004,-0.001,-0.001,0.003
720,-0.001,-0.002,-0.002,-0.001
721,-0.004,-0.003,-0.002,-0.003
722,-0.004,-0.003,-0.003,-0.003
723,-0.003,-0.007,-0.007,-0.001
724,-0.004,-0.008,-0.009,-0.001
725,-0.006,-0.009,-0.009,-0.002
726,-0.005,-0.007,-0.007,-0.002
727,-0.004,-0.004,-0.006,-0.002
728,-0.004,-0.006,-0.008,-0.005
729,-0.007,-0.01,-0.011,-0.009
730,-0.007,-0.009,-0.007,-0.008
731,-0.004,-0.006,-0.003,-0.005
732,-0.003,-0.008,-0.002,-0.005
733,-0.004,-0.008,-0.006,-0.008
734,-0.004,-0.006,-0.009,-0.007
735,-0.004,-0.005,-0.011,-0.008
736,-0.007,-0.007,-0.012,-0.01
737,-0.007,-0.009,-0.011,-0.009
738,-0.009,-0.01,-0.009,-0.009
739,-0.009,-0.009,-0.008,-0.01
740,-0.009,-0.011,-0.01,-0.012
741,-0.011,-0.014,-0.018,-0.015
742,-0.014,-0.017,-0.019,-0.015
743,-0.012,-0.016,-0.015,-0.011
744,-0.01,-0.014,-0.011,-0.007
745,-0.011,-0.012,-0.011,-0.008
746,-0.015,-0.014,-0.017,-0.013
747,-0.014,-0.014,-0.016,-0.016
748,-0.008,-0.011,-0.011,-0.014
749,-0.001,-0.004,-0.002,-0.005
750,0,0,0,0
