,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
235,0.911,0.895,0.896,0.892,0.892,0.486,0.495,0.483,0.473,0.483,0.033,0.036,0.038,0.028,0.026,0.016,0.021,0.017,0.014,0.007,0.95,0.957,0.949,0.917,0.986,0.463,0.455,0.461,0.47,0.462
236,0.955,0.938,0.936,0.935,0.932,0.512,0.522,0.508,0.498,0.508,0.03,0.033,0.037,0.026,0.024,0.015,0.019,0.016,0.012,0.006,0.964,0.969,0.958,0.934,0.998,0.469,0.463,0.468,0.477,0.468
237,0.987,0.974,0.973,0.973,0.969,0.537,0.551,0.534,0.524,0.534,0.029,0.032,0.037,0.025,0.023,0.014,0.018,0.015,0.012,0.005,0.968,0.975,0.96,0.944,0.998,0.473,0.467,0.474,0.48,0.47
238,1.016,1.006,1.016,1.007,1.004,0.563,0.576,0.56,0.55,0.559,0.03,0.032,0.037,0.025,0.023,0.015,0.017,0.015,0.012,0.005,0.972,0.977,0.962,0.947,0.999,0.475,0.469,0.479,0.483,0.472
239,1.058,1.044,1.05,1.046,1.05,0.588,0.601,0.586,0.575,0.585,0.031,0.033,0.036,0.026,0.024,0.016,0.017,0.016,0.012,0.005,0.975,0.978,0.967,0.949,1.002,0.477,0.47,0.478,0.486,0.475
240,1.105,1.085,1.09,1.087,1.093,0.613,0.624,0.609,0.598,0.61,0.032,0.035,0.034,0.026,0.025,0.017,0.018,0.017,0.012,0.007,0.986,0.987,0.975,0.954,1.012,0.48,0.475,0.477,0.489,0.478
241,1.164,1.132,1.132,1.133,1.137,0.636,0.647,0.631,0.618,0.632,0.032,0.034,0.034,0.027,0.025,0.017,0.018,0.017,0.013,0.007,1.003,1.001,0.992,0.969,1.029,0.485,0.481,0.482,0.493,0.482
242,1.203,1.173,1.174,1.173,1.176,0.652,0.667,0.648,0.635,0.648,0.032,0.035,0.036,0.028,0.026,0.016,0.019,0.017,0.013,0.007,1.02,1.021,1.01,0.986,1.048,0.49,0.485,0.493,0.498,0.487
243,1.21,1.192,1.204,1.188,1.19,0.658,0.674,0.656,0.641,0.654,0.033,0.035,0.038,0.028,0.026,0.016,0.019,0.017,0.014,0.007,1.026,1.029,1.019,0.993,1.057,0.49,0.485,0.497,0.498,0.489
244,1.199,1.193,1.196,1.186,1.191,0.661,0.675,0.657,0.642,0.655,0.033,0.036,0.037,0.028,0.027,0.017,0.02,0.017,0.014,0.007,1.018,1.02,1.01,0.987,1.045,0.488,0.482,0.492,0.494,0.487
245,1.189,1.193,1.187,1.183,1.184,0.663,0.677,0.659,0.645,0.658,0.034,0.037,0.037,0.028,0.028,0.017,0.02,0.017,0.014,0.008,1.003,1.006,0.998,0.974,1.03,0.483,0.477,0.484,0.488,0.482
246,1.216,1.212,1.203,1.202,1.198,0.67,0.686,0.666,0.652,0.665,0.034,0.036,0.037,0.028,0.028,0.016,0.02,0.016,0.014,0.007,0.993,0.996,0.99,0.964,1.023,0.478,0.471,0.481,0.484,0.477
247,1.252,1.234,1.231,1.231,1.23,0.679,0.696,0.674,0.662,0.675,0.034,0.036,0.039,0.029,0.029,0.016,0.02,0.017,0.014,0.008,0.988,0.99,0.981,0.957,1.018,0.47,0.465,0.478,0.478,0.471
248,1.258,1.239,1.241,1.234,1.243,0.679,0.696,0.675,0.662,0.676,0.035,0.037,0.041,0.031,0.029,0.018,0.02,0.017,0.016,0.008,0.971,0.971,0.964,0.94,1.002,0.459,0.454,0.466,0.467,0.46
249,1.227,1.208,1.202,1.201,1.218,0.666,0.681,0.663,0.647,0.662,0.035,0.038,0.043,0.03,0.029,0.018,0.019,0.017,0.016,0.008,0.936,0.935,0.924,0.904,0.961,0.442,0.437,0.445,0.449,0.442
250,1.164,1.152,1.142,1.141,1.157,0.64,0.653,0.636,0.623,0.636,0.035,0.038,0.044,0.03,0.028,0.017,0.018,0.017,0.015,0.008,0.885,0.882,0.874,0.855,0.909,0.421,0.415,0.42,0.426,0.42
251,1.098,1.095,1.09,1.086,1.097,0.609,0.621,0.605,0.593,0.605,0.034,0.038,0.043,0.029,0.028,0.016,0.019,0.017,0.015,0.007,0.833,0.829,0.819,0.803,0.855,0.397,0.391,0.392,0.401,0.395
252,1.044,1.038,1.036,1.035,1.04,0.575,0.585,0.571,0.56,0.571,0.034,0.038,0.041,0.03,0.029,0.016,0.02,0.017,0.015,0.008,0.775,0.77,0.761,0.749,0.797,0.369,0.363,0.365,0.372,0.367
253,0.984,0.977,0.98,0.978,0.977,0.537,0.547,0.533,0.522,0.532,0.036,0.039,0.039,0.03,0.03,0.019,0.021,0.018,0.015,0.009,0.708,0.704,0.697,0.684,0.729,0.336,0.329,0.332,0.338,0.333
254,0.918,0.913,0.912,0.91,0.912,0.499,0.509,0.494,0.484,0.494,0.037,0.04,0.041,0.03,0.03,0.02,0.022,0.018,0.016,0.01,0.629,0.626,0.62,0.609,0.648,0.299,0.293,0.296,0.3,0.295
255,0.859,0.851,0.848,0.846,0.848,0.465,0.475,0.458,0.451,0.459,0.037,0.04,0.042,0.03,0.029,0.019,0.02,0.018,0.015,0.009,0.544,0.541,0.536,0.527,0.56,0.258,0.254,0.256,0.259,0.254
256,0.816,0.807,0.804,0.798,0.806,0.44,0.45,0.434,0.427,0.435,0.036,0.038,0.042,0.029,0.029,0.018,0.02,0.018,0.015,0.007,0.462,0.459,0.454,0.447,0.475,0.219,0.217,0.217,0.218,0.215
257,0.787,0.777,0.771,0.766,0.774,0.421,0.431,0.415,0.408,0.416,0.035,0.037,0.041,0.029,0.028,0.017,0.019,0.017,0.014,0.006,0.387,0.385,0.38,0.376,0.398,0.183,0.181,0.181,0.181,0.178
258,0.75,0.74,0.737,0.733,0.736,0.398,0.408,0.394,0.386,0.394,0.036,0.037,0.041,0.029,0.029,0.017,0.019,0.017,0.015,0.006,0.32,0.318,0.314,0.311,0.33,0.151,0.149,0.148,0.148,0.145
259,0.7,0.689,0.688,0.682,0.685,0.367,0.377,0.363,0.357,0.363,0.037,0.039,0.044,0.031,0.031,0.018,0.019,0.017,0.016,0.008,0.264,0.262,0.258,0.256,0.271,0.123,0.121,0.121,0.12,0.117
260,0.628,0.615,0.613,0.61,0.613,0.325,0.337,0.323,0.316,0.322,0.039,0.04,0.044,0.033,0.033,0.018,0.02,0.018,0.016,0.01,0.218,0.218,0.214,0.212,0.225,0.102,0.1,0.1,0.1,0.096
261,0.534,0.522,0.519,0.517,0.52,0.273,0.285,0.273,0.267,0.271,0.037,0.04,0.041,0.032,0.032,0.018,0.02,0.018,0.015,0.01,0.183,0.182,0.179,0.178,0.187,0.085,0.083,0.083,0.082,0.079
262,0.433,0.42,0.418,0.416,0.421,0.22,0.23,0.22,0.215,0.218,0.034,0.038,0.038,0.029,0.03,0.016,0.018,0.017,0.014,0.009,0.157,0.157,0.153,0.154,0.16,0.073,0.072,0.069,0.069,0.067
263,0.335,0.322,0.32,0.319,0.322,0.17,0.177,0.168,0.164,0.167,0.032,0.036,0.037,0.026,0.028,0.015,0.017,0.016,0.013,0.007,0.137,0.137,0.134,0.135,0.139,0.065,0.064,0.059,0.061,0.059
264,0.255,0.239,0.238,0.237,0.24,0.127,0.132,0.124,0.122,0.123,0.031,0.033,0.037,0.024,0.024,0.014,0.016,0.014,0.012,0.004,0.124,0.123,0.12,0.121,0.124,0.059,0.057,0.051,0.055,0.053
265,0.197,0.18,0.179,0.178,0.179,0.096,0.1,0.092,0.091,0.091,0.032,0.032,0.038,0.024,0.024,0.014,0.016,0.015,0.012,0.004,0.116,0.114,0.111,0.113,0.115,0.056,0.055,0.051,0.052,0.05
