,0,1,2,3,4,5,6,7
353,-0.004,-0.001,0,-0.007,-0.008,0.001,-0.002,-0.001
354,-0.005,0,0.001,-0.007,-0.007,0.002,-0.001,-0.001
355,-0.006,0,0.001,-0.007,-0.007,0.002,-0.002,0
356,-0.005,0,0.002,-0.006,-0.006,0.002,-0.001,0
357,-0.004,0,0.002,-0.005,-0.006,0.001,-0.002,0
358,-0.003,0,0.001,-0.005,-0.006,0.001,-0.002,-0.001
359,-0.003,0,0.001,-0.006,-0.006,0,-0.001,0
360,-0.004,-0.001,0,-0.006,-0.006,0,-0.002,0
361,-0.004,-0.001,0,-0.006,-0.005,0,-0.001,0
362,-0.005,-0.002,-0.001,-0.006,-0.006,-0.001,-0.002,0
363,-0.004,-0.001,0,-0.006,-0.006,-0.001,-0.003,0
364,-0.004,-0.001,0,-0.007,-0.006,-0.002,-0.003,-0.002
365,-0.004,-0.001,0,-0.007,-0.007,-0.002,-0.004,-0.001
366,-0.005,0,0.002,-0.006,-0.005,0,-0.003,0
367,-0.006,0.001,0.001,-0.006,-0.006,0,-0.003,0
368,-0.005,0.002,0.001,-0.006,-0.006,0,-0.002,0
369,-0.003,0.002,0.002,-0.006,-0.005,0.001,-0.001,0
370,-0.002,0.002,0.002,-0.005,-0.005,0.001,-0.001,0
371,-0.002,0.001,0.002,-0.004,-0.004,0,-0.001,0.001
372,-0.003,0.001,0.002,-0.003,-0.004,0,-0.001,0.001
373,-0.004,0.001,0.002,-0.004,-0.005,0,-0.001,0.002
374,-0.004,0.002,0.003,-0.005,-0.006,0.001,-0.001,0.002
375,-0.004,0.002,0.003,-0.005,-0.006,0.002,0,0.002
376,-0.003,0.003,0.004,-0.004,-0.006,0.003,0.001,0.002
377,-0.002,0.003,0.003,-0.005,-0.005,0.003,0,0.003
378,-0.002,0.002,0.002,-0.006,-0.005,0.001,-0.002,0.001
379,-0.004,0,0.001,-0.006,-0.006,0,-0.003,0
380,-0.005,0.001,0.001,-0.005,-0.005,0.001,-0.002,0.001
381,-0.005,0.003,0.002,-0.004,-0.005,0.002,-0.001,0.002
382,-0.003,0.004,0.004,-0.003,-0.004,0.002,0,0.002
383,-0.002,0.005,0.005,-0.004,-0.004,0.002,0,0.002
384,-0.003,0.003,0.003,-0.005,-0.004,0.001,-0.001,0.002
385,-0.004,0.002,0.003,-0.006,-0.004,0.001,-0.002,0.001
386,-0.005,0.001,0.002,-0.007,-0.005,0.001,-0.003,0.001
