,0,1,2,3
498,-0.014,-0.015,-0.011,-0.016
499,-0.01,-0.012,-0.009,-0.012
500,-0.009,-0.01,-0.008,-0.011
501,-0.009,-0.01,-0.007,-0.011
502,-0.011,-0.013,-0.009,-0.013
503,-0.012,-0.013,-0.01,-0.013
504,-0.013,-0.014,-0.013,-0.014
505,-0.015,-0.016,-0.015,-0.017
506,-0.017,-0.018,-0.015,-0.019
507,-0.018,-0.019,-0.015,-0.019
508,-0.016,-0.019,-0.014,-0.018
509,-0.015,-0.016,-0.014,-0.017
510,-0.015,-0.015,-0.015,-0.016
511,-0.017,-0.018,-0.017,-0.018
512,-0.017,-0.018,-0.018,-0.018
513,-0.017,-0.018,-0.017,-0.017
514,-0.015,-0.015,-0.015,-0.015
515,-0.015,-0.015,-0.016,-0.015
516,-0.015,-0.016,-0.017,-0.017
517,-0.017,-0.018,-0.016,-0.019
518,-0.019,-0.02,-0.015,-0.02
519,-0.019,-0.022,-0.016,-0.022
520,-0.021,-0.023,-0.021,-0.024
521,-0.021,-0.023,-0.021,-0.025
522,-0.02,-0.021,-0.019,-0.023
523,-0.017,-0.019,-0.016,-0.019
524,-0.016,-0.018,-0.014,-0.018
525,-0.019,-0.021,-0.017,-0.021
526,-0.022,-0.024,-0.019,-0.025
527,-0.022,-0.023,-0.019,-0.024
528,-0.021,-0.021,-0.019,-0.023
529,-0.024,-0.024,-0.021,-0.025
530,-0.027,-0.028,-0.025,-0.029
531,-0.029,-0.03,-0.026,-0.031
532,-0.026,-0.027,-0.023,-0.028
533,-0.025,-0.026,-0.021,-0.027
534,-0.027,-0.027,-0.022,-0.027
535,-0.028,-0.029,-0.025,-0.029
536,-0.029,-0.031,-0.029,-0.032
537,-0.028,-0.031,-0.028,-0.031
538,-0.028,-0.03,-0.028,-0.03
539,-0.027,-0.028,-0.027,-0.028
540,-0.026,-0.027,-0.025,-0.027
541,-0.025,-0.026,-0.024,-0.027
542,-0.025,-0.027,-0.024,-0.028
543,-0.027,-0.03,-0.026,-0.029
544,-0.028,-0.03,-0.029,-0.03
545,-0.027,-0.029,-0.028,-0.029
546,-0.026,-0.027,-0.024,-0.027
547,-0.029,-0.029,-0.025,-0.03
548,-0.032,-0.033,-0.029,-0.033
549,-0.034,-0.035,-0.033,-0.036
550,-0.033,-0.035,-0.034,-0.036
551,-0.033,-0.035,-0.032,-0.035
552,-0.031,-0.033,-0.029,-0.033
553,-0.029,-0.032,-0.027,-0.032
554,-0.028,-0.029,-0.027,-0.03
555,-0.028,-0.029,-0.027,-0.03
556,-0.027,-0.029,-0.027,-0.03
557,-0.027,-0.029,-0.026,-0.03
558,-0.029,-0.03,-0.027,-0.031
559,-0.033,-0.034,-0.031,-0.034
560,-0.036,-0.038,-0.036,-0.038
561,-0.035,-0.036,-0.032,-0.036
562,-0.033,-0.033,-0.029,-0.035
563,-0.029,-0.032,-0.026,-0.032
564,-0.026,-0.03,-0.025,-0.028
565,-0.025,-0.028,-0.025,-0.026
566,-0.024,-0.027,-0.023,-0.027
567,-0.026,-0.03,-0.027,-0.03
568,-0.029,-0.033,-0.03,-0.033
569,-0.031,-0.033,-0.031,-0.033
570,-0.03,-0.033,-0.031,-0.031
571,-0.028,-0.03,-0.029,-0.029
572,-0.028,-0.03,-0.028,-0.029
573,-0.029,-0.031,-0.027,-0.03
574,-0.028,-0.03,-0.026,-0.029
575,-0.027,-0.027,-0.025,-0.026
576,-0.026,-0.025,-0.023,-0.025
577,-0.027,-0.027,-0.022,-0.026
578,-0.027,-0.028,-0.022,-0.028
579,-0.027,-0.029,-0.024,-0.03
580,-0.024,-0.026,-0.02,-0.026
581,-0.018,-0.02,-0.013,-0.02
582,-0.017,-0.018,-0.012,-0.019
583,-0.019,-0.021,-0.018,-0.022
584,-0.026,-0.028,-0.027,-0.028
585,-0.03,-0.033,-0.03,-0.032
586,-0.029,-0.031,-0.026,-0.029
587,-0.025,-0.026,-0.022,-0.024
588,-0.022,-0.024,-0.02,-0.021
589,-0.021,-0.022,-0.017,-0.021
590,-0.019,-0.022,-0.017,-0.022
591,-0.017,-0.02,-0.016,-0.02
592,-0.016,-0.019,-0.017,-0.018
593,-0.016,-0.019,-0.016,-0.018
594,-0.017,-0.019,-0.013,-0.019
595,-0.014,-0.016,-0.009,-0.016
596,-0.013,-0.015,-0.01,-0.014
597,-0.015,-0.016,-0.014,-0.015
598,-0.02,-0.021,-0.02,-0.021
599,-0.022,-0.024,-0.023,-0.024
600,-0.021,-0.023,-0.021,-0.023
601,-0.019,-0.022,-0.015,-0.022
602,-0.014,-0.018,-0.01,-0.018
603,-0.01,-0.014,-0.008,-0.014
604,-0.009,-0.011,-0.008,-0.01
605,-0.011,-0.012,-0.01,-0.01
606,-0.011,-0.011,-0.008,-0.01
607,-0.009,-0.009,-0.007,-0.01
608,-0.005,-0.004,-0.001,-0.005
609,-0.003,-0.002,0.001,-0.003
610,-0.008,-0.007,-0.003,-0.007
611,-0.013,-0.012,-0.011,-0.012
612,-0.013,-0.012,-0.011,-0.013
613,-0.007,-0.007,-0.006,-0.008
614,-0.004,-0.005,0,-0.004
615,-0.004,-0.005,0.002,-0.005
616,-0.006,-0.005,0.001,-0.007
617,-0.007,-0.006,-0.002,-0.007
618,-0.005,-0.006,-0.007,-0.005
619,-0.004,-0.006,-0.007,-0.005
620,-0.003,-0.005,-0.005,-0.004
