333,0.006,0.008,0.008,0.007,0.009,0.01,0.007,0.005,0.006,0.009,0.006,0.009,0.005,0.011,0.0,0.007,0.008,0.008,0.005,0.006,0.006,0.008,0.004,0.014
334,0.007,0.009,0.01,0.008,0.01,0.011,0.008,0.006,0.007,0.01,0.007,0.01,0.006,0.012,0.0,0.008,0.009,0.009,0.005,0.007,0.007,0.008,0.005,0.016
335,0.007,0.009,0.01,0.008,0.009,0.01,0.008,0.006,0.007,0.01,0.006,0.009,0.005,0.01,0.0,0.008,0.009,0.008,0.005,0.006,0.007,0.008,0.005,0.017
336,0.005,0.006,0.008,0.006,0.007,0.008,0.008,0.004,0.005,0.008,0.005,0.007,0.004,0.008,-0.001,0.006,0.007,0.006,0.003,0.003,0.005,0.006,0.003,0.015
337,0.004,0.005,0.006,0.006,0.006,0.008,0.008,0.004,0.005,0.007,0.004,0.006,0.004,0.007,-0.001,0.005,0.005,0.005,0.002,0.002,0.004,0.005,0.003,0.014
338,0.005,0.006,0.007,0.007,0.008,0.009,0.01,0.005,0.006,0.008,0.007,0.008,0.006,0.008,-0.001,0.006,0.007,0.006,0.003,0.003,0.005,0.007,0.004,0.015
339,0.005,0.006,0.007,0.007,0.007,0.009,0.01,0.006,0.006,0.008,0.008,0.008,0.006,0.009,0.0,0.006,0.007,0.007,0.002,0.004,0.004,0.007,0.004,0.016
340,0.004,0.005,0.007,0.005,0.006,0.008,0.008,0.005,0.004,0.007,0.005,0.006,0.005,0.008,-0.002,0.006,0.006,0.005,0.001,0.003,0.003,0.005,0.002,0.014
341,0.004,0.005,0.007,0.005,0.005,0.008,0.009,0.004,0.004,0.007,0.005,0.007,0.004,0.009,-0.003,0.006,0.006,0.005,0.001,0.003,0.004,0.005,0.002,0.015
342,0.005,0.006,0.007,0.005,0.006,0.008,0.008,0.004,0.004,0.007,0.005,0.007,0.004,0.009,-0.001,0.006,0.007,0.005,0.003,0.004,0.005,0.006,0.004,0.015
343,0.007,0.007,0.009,0.007,0.007,0.009,0.008,0.005,0.006,0.009,0.006,0.009,0.007,0.01,0.001,0.007,0.008,0.007,0.005,0.005,0.007,0.009,0.006,0.015
344,0.008,0.007,0.009,0.008,0.009,0.01,0.008,0.005,0.006,0.01,0.007,0.009,0.008,0.01,0.003,0.008,0.009,0.008,0.005,0.006,0.007,0.009,0.007,0.013
345,0.007,0.008,0.009,0.009,0.008,0.01,0.009,0.005,0.006,0.009,0.007,0.008,0.007,0.009,0.002,0.007,0.009,0.008,0.003,0.006,0.006,0.009,0.006,0.011
346,0.006,0.007,0.008,0.008,0.007,0.011,0.01,0.004,0.005,0.008,0.006,0.007,0.004,0.008,0.0,0.006,0.007,0.006,0.001,0.005,0.005,0.007,0.004,0.011
347,0.005,0.005,0.006,0.005,0.006,0.008,0.01,0.003,0.003,0.007,0.004,0.006,0.003,0.006,-0.001,0.004,0.006,0.005,0.0,0.004,0.003,0.006,0.003,0.012
348,0.005,0.005,0.006,0.004,0.005,0.006,0.01,0.002,0.002,0.005,0.003,0.005,0.002,0.006,-0.003,0.004,0.005,0.004,0.0,0.004,0.003,0.005,0.002,0.012
349,0.006,0.005,0.007,0.004,0.006,0.007,0.01,0.002,0.003,0.006,0.004,0.006,0.003,0.008,-0.002,0.004,0.006,0.004,0.002,0.003,0.004,0.005,0.003,0.012
350,0.006,0.006,0.008,0.006,0.006,0.008,0.009,0.004,0.005,0.007,0.006,0.006,0.004,0.009,-0.001,0.005,0.007,0.006,0.003,0.004,0.005,0.007,0.005,0.014
351,0.006,0.006,0.008,0.007,0.007,0.009,0.008,0.005,0.006,0.008,0.006,0.007,0.004,0.009,0.0,0.006,0.007,0.006,0.003,0.004,0.004,0.007,0.006,0.014
352,0.006,0.006,0.008,0.006,0.008,0.009,0.007,0.005,0.006,0.008,0.006,0.007,0.004,0.008,0.0,0.007,0.007,0.006,0.003,0.004,0.004,0.007,0.006,0.013
353,0.005,0.005,0.008,0.006,0.007,0.009,0.007,0.005,0.005,0.007,0.005,0.007,0.005,0.007,-0.001,0.006,0.006,0.006,0.002,0.004,0.004,0.007,0.005,0.012
354,0.006,0.006,0.009,0.007,0.007,0.01,0.007,0.005,0.005,0.008,0.005,0.008,0.005,0.008,-0.002,0.006,0.007,0.006,0.002,0.004,0.005,0.007,0.005,0.014
355,0.005,0.005,0.009,0.007,0.006,0.009,0.006,0.004,0.004,0.009,0.004,0.008,0.004,0.008,-0.003,0.005,0.006,0.005,0.002,0.003,0.005,0.006,0.004,0.014
356,0.005,0.005,0.008,0.007,0.006,0.009,0.006,0.004,0.004,0.009,0.005,0.007,0.003,0.007,-0.003,0.005,0.006,0.005,0.001,0.003,0.005,0.005,0.004,0.012
357,0.006,0.006,0.007,0.006,0.006,0.009,0.005,0.004,0.005,0.009,0.005,0.007,0.003,0.007,-0.002,0.005,0.006,0.005,0.001,0.004,0.005,0.005,0.004,0.011
358,0.006,0.007,0.009,0.006,0.007,0.01,0.006,0.004,0.005,0.009,0.007,0.007,0.005,0.007,0.0,0.006,0.007,0.005,0.002,0.005,0.005,0.006,0.004,0.011
359,0.007,0.008,0.01,0.007,0.008,0.011,0.008,0.005,0.006,0.01,0.007,0.008,0.005,0.008,0.0,0.007,0.007,0.006,0.002,0.006,0.005,0.007,0.005,0.014
360,0.007,0.007,0.009,0.007,0.007,0.01,0.007,0.004,0.005,0.009,0.005,0.008,0.005,0.008,0.0,0.007,0.007,0.006,0.002,0.006,0.005,0.007,0.004,0.013
361,0.005,0.006,0.008,0.007,0.006,0.009,0.005,0.004,0.004,0.007,0.004,0.007,0.004,0.007,-0.001,0.006,0.006,0.005,0.003,0.005,0.005,0.007,0.004,0.012
