,0,1,2,3,4
497,0,0.004,-0.006,-0.003,-0.006
498,-0.002,-0.001,-0.009,-0.005,-0.007
499,0.001,-0.003,-0.01,-0.004,-0.007
500,0.007,0.002,-0.007,-0.001,-0.005
501,0.005,0.003,-0.006,0,-0.005
502,0.004,0.002,-0.004,-0.001,-0.004
503,0.002,0.005,-0.002,-0.001,-0.002
504,0.003,0.002,-0.003,-0.001,-0.001
505,0.001,-0.001,-0.007,-0.001,-0.003
506,-0.002,-0.005,-0.011,-0.001,-0.006
507,0.001,-0.005,-0.011,-0.001,-0.006
508,0.001,-0.002,-0.009,-0.001,-0.004
509,0.002,-0.003,-0.009,-0.001,-0.003
510,-0.002,-0.002,-0.008,-0.003,-0.003
511,-0.004,-0.004,-0.009,-0.005,-0.005
512,-0.002,-0.005,-0.011,-0.006,-0.007
513,0.001,-0.006,-0.01,-0.005,-0.005
514,0.001,-0.007,-0.011,-0.006,-0.006
515,-0.002,-0.007,-0.012,-0.006,-0.008
516,-0.003,-0.008,-0.013,-0.005,-0.009
517,0.002,-0.003,-0.008,0,-0.004
518,0.006,0.002,-0.002,0,-0.002
519,0.003,0.001,-0.004,-0.004,-0.006
520,-0.001,-0.003,-0.008,-0.01,-0.011
521,-0.003,-0.004,-0.009,-0.01,-0.012
522,-0.001,0,-0.003,-0.003,-0.006
523,0.001,0.002,0.001,0.003,-0.001
524,-0.001,0.005,0,0.003,0.001
525,-0.001,0.004,0,-0.002,0
526,0,0.005,0,-0.004,0
527,0.002,0.004,-0.002,-0.004,-0.001
528,0.004,0.002,-0.004,-0.002,-0.002
529,0.002,0.001,-0.005,-0.004,-0.005
530,0,0,-0.008,-0.008,-0.006
531,-0.002,-0.002,-0.012,-0.011,-0.009
532,-0.001,-0.004,-0.011,-0.009,-0.008
533,0,-0.006,-0.009,-0.009,-0.008
534,0,-0.004,-0.007,-0.009,-0.006
535,0.001,-0.002,-0.005,-0.007,-0.004
536,0.002,0,-0.005,-0.006,-0.004
537,0.004,0,-0.006,-0.006,-0.005
538,0.003,0.001,-0.007,-0.007,-0.004
539,0.001,0.003,-0.006,-0.01,-0.005
540,0.001,0.004,-0.004,-0.007,-0.004
541,-0.002,0.001,-0.005,-0.009,-0.007
542,-0.005,-0.001,-0.007,-0.011,-0.009
543,-0.006,0,-0.007,-0.011,-0.01
544,-0.008,-0.002,-0.01,-0.013,-0.012
545,-0.006,-0.001,-0.01,-0.012,-0.01
546,-0.007,-0.003,-0.012,-0.011,-0.009
547,-0.009,-0.008,-0.015,-0.015,-0.012
548,-0.011,-0.01,-0.018,-0.016,-0.014
549,-0.012,-0.012,-0.018,-0.015,-0.015
550,-0.008,-0.006,-0.014,-0.01,-0.009
551,-0.002,-0.005,-0.011,-0.009,-0.005
552,-0.002,-0.004,-0.01,-0.01,-0.003
553,-0.006,0,-0.01,-0.01,-0.005
554,-0.008,0.002,-0.009,-0.011,-0.008
555,-0.005,0.001,-0.009,-0.01,-0.008
556,-0.003,0,-0.009,-0.009,-0.007
557,-0.002,0.002,-0.008,-0.009,-0.005
558,-0.006,0.001,-0.009,-0.012,-0.008
559,-0.004,0.001,-0.007,-0.012,-0.008
560,0.003,0.004,-0.001,-0.007,-0.003
561,0.004,0.006,0.001,-0.003,0.002
562,0.004,0.005,0,-0.004,0.002
563,0.001,0,-0.005,-0.01,-0.003
564,0,-0.002,-0.009,-0.012,-0.007
565,-0.002,-0.004,-0.012,-0.014,-0.009
566,-0.005,-0.003,-0.011,-0.014,-0.01
567,-0.005,-0.002,-0.011,-0.015,-0.011
568,-0.005,-0.002,-0.012,-0.013,-0.01
569,-0.006,-0.002,-0.012,-0.011,-0.011
570,-0.005,-0.002,-0.012,-0.009,-0.009
571,-0.002,-0.002,-0.01,-0.007,-0.008
572,0,-0.002,-0.007,-0.004,-0.004
573,-0.002,0.001,-0.004,-0.004,-0.002
574,-0.005,-0.002,-0.007,-0.008,-0.005
575,-0.006,-0.006,-0.011,-0.013,-0.011
576,-0.006,-0.006,-0.015,-0.015,-0.014
577,-0.006,-0.003,-0.014,-0.014,-0.013
578,-0.006,-0.003,-0.014,-0.013,-0.012
579,-0.004,-0.004,-0.011,-0.008,-0.011
580,-0.005,-0.004,-0.007,-0.007,-0.011
581,-0.006,-0.002,-0.008,-0.007,-0.009
582,-0.002,0.006,-0.006,-0.009,-0.009
583,0.002,0.006,-0.006,-0.007,-0.005
584,0.007,0.007,-0.001,-0.002,-0.002
585,0.011,0.013,0.006,0.002,0.004
586,0.011,0.016,0.005,0.001,0.005
587,0.006,0.014,0.003,-0.002,0.005
588,-0.001,0.006,-0.002,-0.002,0.003
589,0.002,0.005,0.001,0.003,0.004
590,0.006,0.001,-0.002,0.002,0.002
591,0.005,0.004,-0.004,0.001,0
592,-0.007,0.002,-0.012,-0.006,-0.006
593,-0.009,0.001,-0.014,-0.011,-0.008
594,-0.005,0.001,-0.013,-0.011,-0.008
595,0.004,0.006,-0.002,-0.004,0
596,0.015,0.019,0.01,0.009,0.009
597,0.017,0.023,0.011,0.008,0.009
598,0.013,0.018,0.005,0.003,0.003
599,0.006,0.014,-0.003,-0.003,-0.003
600,0.001,0.009,-0.002,-0.003,0
601,0.003,0.006,0,0.001,0.006
602,0.007,0.004,-0.001,0.005,0.004
603,0.01,0.006,-0.001,0.005,0.001
604,0.011,0.011,0,0.006,0.004
605,0.009,0.013,0,0.006,0.007
606,0.011,0.01,0,0.003,0.005
607,0.008,0.01,0.003,0.001,0.001
608,0.009,0.011,0.005,0.001,0.001
609,0.005,0.006,0.001,0.004,0.002
610,0.005,0.001,-0.004,0.003,0.003
611,0.009,0.003,-0.001,0.005,0.008
612,0.011,0.008,0.003,0.007,0.012
613,0.01,0.014,0.008,0.007,0.006
614,0.007,0.015,0.008,0.005,0.004
615,0.01,0.016,0.008,0.007,0.005
616,0.014,0.017,0.01,0.008,0.008
617,0.014,0.019,0.01,0.011,0.01
