,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
362,0,0.015,0.006,0.005,0.007,0.014,0.023,0.025,0.011,0.014,0.002,0.006,0.005,0.006,0.009,0.002,0.004,0.012
363,0,0.013,0.005,0.004,0.008,0.015,0.022,0.025,0.011,0.014,0.003,0.008,0.004,0.006,0.011,0.002,0.004,0.013
364,0,0.01,0.004,0.002,0.008,0.016,0.02,0.025,0.009,0.014,0.003,0.008,0.003,0.004,0.011,0.003,0.005,0.013
365,0,0.009,0.005,0.003,0.009,0.015,0.019,0.023,0.009,0.015,0.001,0.007,0.005,0.005,0.011,0.006,0.007,0.012
366,0,0.01,0.008,0.004,0.008,0.014,0.02,0.022,0.01,0.016,0,0.007,0.007,0.006,0.009,0.005,0.008,0.012
367,-0.001,0.012,0.006,0.005,0.007,0.012,0.019,0.02,0.012,0.016,-0.003,0.007,0.006,0.006,0.008,0.003,0.007,0.011
368,-0.001,0.012,0.003,0.006,0.006,0.01,0.019,0.021,0.011,0.015,-0.001,0.007,0.005,0.005,0.008,0.002,0.007,0.012
369,0,0.013,0.003,0.007,0.007,0.01,0.018,0.022,0.012,0.013,-0.001,0.008,0.006,0.004,0.011,0.003,0.006,0.012
370,0.001,0.014,0.005,0.006,0.008,0.009,0.018,0.022,0.011,0.012,0.001,0.008,0.005,0.004,0.01,0.006,0.004,0.011
371,0.002,0.015,0.008,0.006,0.008,0.008,0.018,0.019,0.01,0.012,0.004,0.008,0.005,0.006,0.009,0.006,0.002,0.012
372,0.001,0.014,0.007,0.005,0.007,0.007,0.018,0.017,0.01,0.012,0.003,0.007,0.004,0.006,0.008,0.005,0.003,0.013
373,-0.001,0.011,0.006,0.005,0.006,0.005,0.017,0.016,0.007,0.01,0.002,0.005,0.004,0.005,0.007,0.002,0.003,0.012
374,-0.002,0.013,0.003,0.006,0.006,0.005,0.017,0.014,0.007,0.01,0,0.004,0.006,0.005,0.007,0,0.003,0.011
375,-0.001,0.015,0.003,0.005,0.006,0.004,0.015,0.011,0.006,0.01,0.001,0.003,0.007,0.005,0.006,0.001,0.003,0.009
376,-0.001,0.017,0.003,0.005,0.006,0.003,0.014,0.011,0.005,0.009,0.001,0.003,0.007,0.005,0.004,0.002,0.002,0.008
377,-0.001,0.015,0.005,0.005,0.007,0.004,0.013,0.014,0.006,0.008,0.001,0.004,0.005,0.005,0.004,0.004,0.003,0.011
378,0.001,0.012,0.007,0.005,0.006,0.005,0.013,0.017,0.005,0.007,0.003,0.005,0.005,0.004,0.005,0.005,0.002,0.012
379,0.001,0.012,0.006,0.006,0.006,0.008,0.015,0.018,0.006,0.009,0.004,0.007,0.005,0.005,0.008,0.004,0.004,0.014
380,0.002,0.014,0.006,0.005,0.007,0.008,0.015,0.017,0.007,0.009,0.005,0.009,0.005,0.004,0.011,0.005,0.008,0.015
381,0.001,0.016,0.005,0.005,0.007,0.007,0.014,0.016,0.006,0.008,0.004,0.007,0.007,0.004,0.009,0.006,0.007,0.013
382,0.001,0.015,0.005,0.005,0.008,0.006,0.012,0.015,0.005,0.007,0.002,0.004,0.007,0.004,0.008,0.007,0.005,0.012
