229,0.189,0.06,0.28,0.034,0.018,0.279,0.099,-0.01,0.1,0.504,0.08,0.078,0.102,0.042,0.083,0.025,0.051,-0.024,0.07,0.013,0.064,0.44,0.414,0.309,1.279,0.717,1.029,0.644,0.643,1.236,1.304,1.193,1.207,0.789,1.208,0.403,0.784,0.802,0.791,0.798,0.871,1.129,1.14,0.233,1.394,0.826,1.028,0.789,1.378
230,0.141,0.033,0.342,0.03,0.02,0.204,0.045,-0.009,0.029,0.483,0.103,0.08,0.067,0.053,0.08,-0.003,0.083,0.016,0.053,0.042,0.087,0.513,0.43,0.211,0.989,0.767,0.683,0.527,0.547,1.14,1.053,0.97,0.94,0.568,0.997,0.504,0.553,0.557,0.559,0.568,0.879,1.137,1.027,0.168,1.298,0.947,1.079,1.154,1.253
231,0.051,0.015,0.286,0.041,0.017,0.068,0.038,0.277,-0.012,0.366,0.09,0.065,0.053,0.068,0.076,0.016,0.091,0.102,0.059,0.062,0.103,0.438,0.317,0.138,0.677,0.675,0.629,0.398,0.411,0.896,0.731,0.622,0.66,0.402,0.707,0.491,0.376,0.389,0.387,0.388,0.565,1.017,0.839,0.103,1.176,0.93,1.132,1.194,1.305
232,-0.163,-0.015,0.091,0.025,0.046,-0.007,0.015,0.151,0.003,0.278,0.066,0.051,0.063,0.07,0.073,0.035,0.109,0.1,0.092,0.047,0.11,0.367,0.277,0.093,0.482,0.403,0.493,0.297,0.248,0.629,0.531,0.403,0.478,0.286,0.491,0.344,0.265,0.274,0.273,0.28,0.343,0.813,0.688,0.125,0.893,0.785,1.012,0.893,1.106
233,-0.218,-0.021,-0.047,0.072,0.054,-0.09,-0.009,0.026,0.039,0.389,0.058,0.058,0.087,0.07,0.076,0.06,0.111,0.106,0.118,0.069,0.135,0.17,0.24,0.104,0.368,0.263,0.477,0.198,0.185,0.464,0.407,0.287,0.367,0.223,0.376,0.131,0.203,0.212,0.209,0.217,0.281,0.593,0.56,0.118,0.774,0.677,0.856,0.54,1.19
234,0.084,0.0,-0.026,0.069,0.06,-0.18,0.015,0.065,0.048,0.275,0.051,0.075,0.07,0.072,0.065,0.066,0.105,0.1,0.141,0.113,0.129,0.176,0.272,0.106,0.312,0.129,0.363,0.258,0.159,0.347,0.344,0.226,0.314,0.19,0.316,0.097,0.17,0.179,0.179,0.185,0.209,0.484,0.448,0.146,0.684,0.514,0.662,0.36,1.147
235,0.236,0.009,0.025,0.057,0.047,-0.211,0.142,-0.109,0.134,0.349,0.063,0.079,0.079,0.072,0.085,0.048,0.163,0.133,0.189,0.185,0.18,0.041,0.206,0.097,0.279,0.136,0.297,0.242,0.146,0.31,0.308,0.196,0.28,0.171,0.283,0.17,0.152,0.159,0.161,0.166,0.421,0.418,0.321,0.146,0.844,0.426,0.444,0.47,0.867
236,0.262,0.027,0.077,0.059,0.041,-0.159,0.112,0.085,0.22,0.243,0.066,0.068,0.076,0.078,0.096,0.077,0.201,0.222,0.217,0.221,0.218,0.082,0.093,0.095,0.267,0.162,0.343,0.19,0.124,0.302,0.296,0.184,0.27,0.164,0.269,0.138,0.145,0.15,0.154,0.157,0.558,0.351,0.285,0.122,0.791,0.366,0.444,0.45,0.786
237,0.245,0.036,0.093,0.036,0.049,-0.058,0.202,0.007,0.225,0.178,0.057,0.064,0.103,0.079,0.094,0.088,0.253,0.193,0.216,0.209,0.253,0.242,0.051,0.075,0.264,0.198,0.278,0.155,0.081,0.283,0.293,0.179,0.268,0.163,0.265,0.131,0.144,0.149,0.153,0.156,0.428,0.313,0.237,0.13,0.709,0.321,0.451,0.483,0.529
238,0.06,0.027,0.035,0.005,0.052,0.012,0.208,-0.003,0.179,0.145,0.058,0.062,0.075,0.076,0.095,0.079,0.215,0.23,0.244,0.208,0.252,0.332,0.043,0.071,0.265,0.285,0.156,0.068,0.087,0.223,0.3,0.18,0.27,0.164,0.268,0.161,0.145,0.148,0.157,0.154,0.317,0.248,0.214,0.098,0.596,0.244,0.406,0.5,0.42
