,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
243,0.209,0.199,0.351,0.325,0.294,0.363,0.37,0.453,0.567,0.573,0.648,0.652,0.724,0.722,0.828,0.905,0.917,0.005,0.007,0.008,0.016,0.012,0.008,0.014,0.014,0.013,0.013,0.01,0.013,0.009,0.006,0.017,0.014,0.014,0.018,0.016,0.013,0.019,0.016,0.194,0.176,0.256,0.244,0.372,0.381,0.43,0.422,0.482,0.47,0.548,0.613,0.676,0.643,0.745,0.75,0.854,0.835
244,0.211,0.201,0.353,0.328,0.295,0.365,0.373,0.456,0.569,0.576,0.651,0.656,0.726,0.723,0.831,0.908,0.917,0.006,0.008,0.009,0.017,0.013,0.009,0.015,0.015,0.014,0.014,0.011,0.014,0.011,0.007,0.018,0.015,0.016,0.02,0.017,0.015,0.02,0.017,0.195,0.178,0.259,0.247,0.376,0.383,0.432,0.424,0.485,0.473,0.551,0.616,0.678,0.646,0.748,0.753,0.856,0.837
245,0.211,0.202,0.355,0.33,0.297,0.367,0.374,0.457,0.571,0.578,0.652,0.658,0.728,0.723,0.832,0.907,0.92,0.007,0.01,0.01,0.019,0.013,0.009,0.016,0.016,0.014,0.015,0.012,0.015,0.012,0.008,0.019,0.015,0.017,0.02,0.018,0.016,0.02,0.018,0.196,0.178,0.258,0.247,0.375,0.383,0.431,0.423,0.484,0.471,0.549,0.613,0.676,0.644,0.744,0.749,0.85,0.833
246,0.211,0.203,0.358,0.332,0.299,0.371,0.377,0.461,0.577,0.584,0.66,0.665,0.736,0.733,0.841,0.915,0.932,0.007,0.009,0.009,0.017,0.013,0.009,0.015,0.015,0.014,0.014,0.011,0.014,0.011,0.009,0.018,0.014,0.017,0.019,0.017,0.015,0.019,0.018,0.194,0.176,0.257,0.244,0.373,0.38,0.427,0.42,0.481,0.468,0.547,0.609,0.672,0.642,0.741,0.746,0.847,0.83
247,0.212,0.204,0.362,0.334,0.301,0.374,0.381,0.465,0.583,0.591,0.668,0.673,0.745,0.744,0.853,0.929,0.948,0.006,0.009,0.009,0.016,0.013,0.008,0.013,0.013,0.013,0.013,0.011,0.013,0.01,0.009,0.017,0.014,0.016,0.017,0.015,0.014,0.018,0.016,0.191,0.172,0.254,0.241,0.368,0.376,0.423,0.415,0.475,0.462,0.541,0.604,0.666,0.635,0.735,0.74,0.842,0.826
248,0.211,0.203,0.361,0.333,0.301,0.374,0.38,0.466,0.584,0.592,0.669,0.674,0.746,0.746,0.854,0.932,0.953,0.005,0.009,0.008,0.015,0.013,0.009,0.012,0.013,0.012,0.013,0.01,0.012,0.01,0.007,0.017,0.013,0.015,0.016,0.015,0.014,0.017,0.016,0.187,0.169,0.248,0.237,0.36,0.369,0.414,0.406,0.464,0.451,0.529,0.593,0.653,0.622,0.72,0.727,0.827,0.812
249,0.208,0.2,0.356,0.329,0.297,0.369,0.374,0.459,0.574,0.582,0.659,0.662,0.733,0.732,0.84,0.916,0.93,0.006,0.009,0.009,0.017,0.014,0.01,0.013,0.014,0.013,0.013,0.011,0.013,0.011,0.008,0.018,0.014,0.016,0.017,0.016,0.015,0.018,0.017,0.181,0.164,0.241,0.23,0.349,0.357,0.402,0.393,0.448,0.437,0.51,0.573,0.63,0.6,0.695,0.702,0.798,0.784
250,0.202,0.195,0.345,0.318,0.288,0.356,0.362,0.443,0.553,0.562,0.635,0.637,0.706,0.703,0.807,0.879,0.89,0.006,0.01,0.009,0.018,0.015,0.01,0.015,0.015,0.014,0.015,0.011,0.015,0.011,0.008,0.017,0.015,0.016,0.019,0.017,0.016,0.02,0.017,0.174,0.157,0.23,0.218,0.333,0.341,0.385,0.377,0.428,0.417,0.487,0.546,0.599,0.57,0.661,0.667,0.758,0.745
251,0.192,0.186,0.328,0.303,0.274,0.339,0.345,0.422,0.526,0.534,0.604,0.606,0.672,0.668,0.767,0.834,0.845,0.005,0.009,0.008,0.018,0.014,0.008,0.015,0.015,0.013,0.015,0.011,0.014,0.011,0.007,0.017,0.013,0.016,0.02,0.017,0.015,0.02,0.017,0.164,0.148,0.217,0.205,0.314,0.321,0.363,0.354,0.403,0.394,0.46,0.515,0.563,0.536,0.623,0.627,0.714,0.702
252,0.181,0.176,0.309,0.286,0.258,0.318,0.325,0.397,0.497,0.502,0.568,0.573,0.634,0.63,0.724,0.787,0.8,0.005,0.008,0.007,0.016,0.013,0.007,0.014,0.015,0.013,0.014,0.01,0.013,0.01,0.007,0.016,0.012,0.015,0.02,0.016,0.014,0.019,0.016,0.152,0.137,0.201,0.19,0.291,0.298,0.335,0.327,0.374,0.364,0.427,0.477,0.522,0.496,0.579,0.582,0.662,0.652
253,0.17,0.164,0.288,0.268,0.241,0.297,0.304,0.371,0.465,0.47,0.531,0.536,0.592,0.592,0.679,0.737,0.753,0.005,0.008,0.008,0.017,0.013,0.008,0.014,0.015,0.013,0.014,0.011,0.014,0.01,0.007,0.017,0.014,0.016,0.02,0.017,0.014,0.02,0.018,0.139,0.126,0.183,0.174,0.265,0.272,0.304,0.298,0.34,0.331,0.389,0.435,0.477,0.452,0.527,0.53,0.603,0.594
254,0.158,0.153,0.267,0.249,0.224,0.277,0.283,0.345,0.433,0.437,0.495,0.498,0.549,0.551,0.633,0.688,0.7,0.005,0.009,0.008,0.017,0.013,0.009,0.014,0.015,0.013,0.013,0.011,0.014,0.011,0.007,0.017,0.015,0.016,0.02,0.017,0.015,0.02,0.018,0.123,0.112,0.163,0.154,0.235,0.241,0.27,0.265,0.301,0.292,0.344,0.386,0.423,0.4,0.468,0.47,0.534,0.526
255,0.148,0.143,0.25,0.233,0.21,0.259,0.265,0.323,0.405,0.409,0.462,0.464,0.513,0.513,0.59,0.641,0.651,0.004,0.009,0.008,0.017,0.012,0.009,0.014,0.014,0.012,0.014,0.011,0.013,0.011,0.006,0.016,0.014,0.016,0.019,0.017,0.015,0.02,0.017,0.106,0.096,0.141,0.133,0.204,0.208,0.235,0.23,0.259,0.251,0.296,0.334,0.363,0.344,0.404,0.405,0.461,0.454
