,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
326,-0.001,0.015,0.009,0.024,0.018,0.014,0.01,0.01,0.01,0.012,0.027,0.022,0.022,0.009,0.015
327,-0.001,0.017,0.01,0.024,0.017,0.014,0.01,0.011,0.011,0.013,0.029,0.025,0.021,0.009,0.017
328,-0.002,0.017,0.01,0.024,0.018,0.015,0.01,0.011,0.013,0.015,0.03,0.026,0.022,0.006,0.018
329,-0.004,0.014,0.009,0.021,0.017,0.011,0.01,0.009,0.012,0.013,0.026,0.021,0.018,0.004,0.015
330,-0.004,0.012,0.007,0.018,0.017,0.01,0.009,0.008,0.008,0.011,0.024,0.018,0.016,0.005,0.012
331,-0.003,0.012,0.007,0.019,0.016,0.008,0.007,0.008,0.008,0.012,0.024,0.016,0.017,0.006,0.012
332,-0.004,0.011,0.008,0.019,0.017,0.009,0.005,0.009,0.009,0.011,0.025,0.017,0.017,0.008,0.012
333,-0.004,0.012,0.01,0.022,0.019,0.01,0.006,0.01,0.011,0.011,0.026,0.021,0.02,0.009,0.012
334,-0.004,0.012,0.011,0.024,0.019,0.012,0.008,0.011,0.012,0.011,0.026,0.022,0.022,0.009,0.012
335,-0.004,0.014,0.01,0.025,0.018,0.013,0.008,0.009,0.011,0.01,0.024,0.023,0.022,0.01,0.012
336,-0.003,0.014,0.008,0.024,0.018,0.012,0.006,0.008,0.01,0.008,0.023,0.021,0.021,0.008,0.01
337,-0.005,0.011,0.007,0.021,0.018,0.008,0.003,0.006,0.008,0.007,0.021,0.018,0.015,0.005,0.008
338,-0.004,0.012,0.006,0.021,0.018,0.009,0.004,0.007,0.008,0.009,0.023,0.017,0.015,0.006,0.009
339,-0.004,0.012,0.007,0.023,0.016,0.012,0.005,0.008,0.009,0.011,0.025,0.018,0.017,0.007,0.01
340,-0.006,0.01,0.007,0.021,0.014,0.011,0.005,0.008,0.009,0.011,0.023,0.018,0.02,0.009,0.01
341,-0.005,0.01,0.007,0.02,0.015,0.01,0.006,0.008,0.009,0.01,0.021,0.019,0.021,0.009,0.008
