,0,1,2,3,4,5,6,7,8,9,10,11
334,0,0.005,0.003,0.002,0.004,0.004,0.003,0.001,0.002,0.002,0.002,0
335,-0.001,0.003,0.002,0.001,0.003,0.002,0.001,0,0,0,0.001,-0.001
336,-0.001,0.003,0.001,0.001,0.002,0,0,0,-0.001,0,-0.001,-0.002
337,-0.002,0.003,0,0,0,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003
338,-0.002,0.003,0,0,0.001,0,-0.002,-0.002,-0.002,-0.003,-0.002,-0.004
339,-0.002,0.003,0.001,-0.001,0.001,0,-0.002,-0.002,-0.003,-0.002,-0.002,-0.004
340,-0.002,0.003,0,-0.001,0.002,0.001,-0.001,-0.001,-0.004,-0.002,-0.002,-0.004
341,-0.002,0.003,0,-0.001,0.001,0,-0.002,-0.002,-0.003,-0.002,-0.001,-0.003
342,-0.002,0.003,-0.001,-0.001,-0.001,-0.001,-0.002,-0.003,-0.002,-0.002,-0.001,-0.002
343,-0.002,0.003,0,0,-0.001,-0.002,-0.002,-0.003,-0.001,-0.001,-0.001,-0.002
344,-0.002,0.004,0.001,0.001,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001
345,-0.001,0.003,0.001,0.001,0.003,0.002,0.001,0,-0.001,-0.001,-0.001,-0.001
346,-0.002,0.003,0.001,0,0.002,0.001,-0.001,-0.001,-0.001,-0.001,0,-0.002
347,-0.003,0.003,0,-0.001,0.001,0.001,-0.002,-0.002,-0.002,-0.003,-0.002,-0.003
348,-0.003,0.003,0.001,-0.001,0.001,0.001,-0.002,-0.002,-0.002,-0.003,-0.002,-0.003
349,-0.002,0.003,0,0,0.002,0.001,-0.002,-0.002,-0.002,-0.003,-0.002,-0.003
350,-0.001,0.004,0,0.001,0.003,0.001,-0.002,-0.001,-0.002,-0.002,-0.001,-0.002
351,0,0.005,0.001,0.002,0.003,0.001,-0.001,-0.001,-0.001,-0.001,0.001,-0.001
352,0,0.005,0.002,0.002,0.003,0.002,0,-0.001,0,0,0.002,-0.001
353,0,0.004,0.002,0.001,0.001,0.001,0,-0.001,-0.001,0,0.001,-0.002
