,0,0,0,1,1,1
409,-0.004,0.007,-0.005,-0.004,-0.005,0.003
410,-0.004,0.009,-0.004,-0.003,-0.005,0.004
411,-0.004,0.01,-0.005,-0.005,-0.005,0.004
412,-0.004,0.01,-0.006,-0.007,-0.007,0.003
413,-0.005,0.01,-0.006,-0.008,-0.008,0.003
414,-0.004,0.009,-0.004,-0.007,-0.006,0.005
415,-0.004,0.008,-0.004,-0.007,-0.006,0.003
416,-0.003,0.009,-0.004,-0.005,-0.005,0.003
417,-0.002,0.014,-0.003,-0.004,-0.003,0.007
418,0.0,0.018,-0.001,-0.001,-0.002,0.01
419,0.001,0.02,-0.001,0.0,-0.001,0.011
420,0.0,0.019,-0.002,-0.001,-0.003,0.009
421,-0.002,0.016,-0.003,-0.002,-0.004,0.007
422,-0.003,0.016,-0.003,-0.002,-0.004,0.008
423,-0.004,0.016,-0.004,-0.002,-0.004,0.008
424,-0.006,0.011,-0.007,-0.005,-0.007,0.004
425,-0.007,0.009,-0.008,-0.006,-0.008,0.002
426,-0.007,0.007,-0.008,-0.007,-0.009,0.0
427,-0.005,0.006,-0.006,-0.006,-0.007,0.001
428,-0.004,0.007,-0.005,-0.005,-0.006,0.002
429,-0.005,0.005,-0.007,-0.007,-0.007,0.0
430,-0.006,0.006,-0.007,-0.008,-0.008,0.001
431,-0.007,0.007,-0.008,-0.009,-0.009,0.001
432,-0.008,0.007,-0.009,-0.008,-0.01,0.001
433,-0.007,0.011,-0.008,-0.006,-0.008,0.005
434,-0.006,0.015,-0.007,-0.006,-0.007,0.008
435,-0.004,0.016,-0.005,-0.005,-0.005,0.011
436,-0.003,0.015,-0.003,-0.004,-0.004,0.01
437,-0.002,0.012,-0.003,-0.004,-0.004,0.006
438,-0.002,0.011,-0.003,-0.005,-0.004,0.005
439,-0.002,0.01,-0.003,-0.007,-0.005,0.004
440,-0.004,0.009,-0.005,-0.009,-0.006,0.002
441,-0.005,0.011,-0.007,-0.008,-0.007,0.002
442,-0.006,0.01,-0.008,-0.008,-0.009,0.001
443,-0.007,0.008,-0.008,-0.008,-0.009,0.002
444,-0.006,0.006,-0.008,-0.007,-0.009,0.001
445,-0.004,0.006,-0.005,-0.005,-0.007,-0.001
446,-0.005,0.007,-0.006,-0.006,-0.007,-0.001
447,-0.007,0.005,-0.008,-0.008,-0.009,-0.001
448,-0.008,0.007,-0.008,-0.008,-0.009,0.003
449,-0.007,0.01,-0.007,-0.008,-0.008,0.006
450,-0.005,0.012,-0.007,-0.006,-0.008,0.007
451,-0.006,0.011,-0.007,-0.005,-0.009,0.004
452,-0.006,0.009,-0.007,-0.005,-0.009,0.0
453,-0.006,0.007,-0.006,-0.005,-0.007,-0.001
454,-0.005,0.006,-0.006,-0.007,-0.008,-0.002
455,-0.005,0.007,-0.006,-0.008,-0.008,0.0
456,-0.004,0.009,-0.005,-0.007,-0.007,0.003
457,-0.003,0.013,-0.004,-0.005,-0.006,0.007
458,-0.002,0.015,-0.004,-0.003,-0.005,0.01
459,-0.003,0.013,-0.005,-0.003,-0.006,0.009
460,-0.007,0.01,-0.008,-0.005,-0.009,0.006
461,-0.008,0.008,-0.009,-0.007,-0.01,0.003
462,-0.007,0.006,-0.008,-0.009,-0.009,0.002
463,-0.004,0.007,-0.006,-0.01,-0.007,0.003
464,-0.004,0.008,-0.006,-0.009,-0.007,0.003
465,-0.007,0.008,-0.009,-0.006,-0.009,0.002
466,-0.006,0.01,-0.009,-0.004,-0.008,0.003
467,-0.004,0.012,-0.006,-0.004,-0.006,0.003
468,-0.002,0.014,-0.004,-0.005,-0.004,0.005
